id,slug,name,icon,parent_id,sort_order,is_active,created_at,updated_at
cmkewzigf0002xkfkga49amv8,transport,"Тээвэрлэлт, хүргэлт",https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/transport.png,,0,t,2026-01-15 03:53:07.887,2026-01-21 11:38:21.773
cmkmjwr16000b4q2no28ydjhy,repair,"Засвар, үйлчилгээ",https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/repair.png,,1,t,2026-01-20 12:09:13.434,2026-01-21 11:41:28.554
cmkmjx1xd000o4q2nq91u8ebx,cleaning,Цэвэрлэгээ,https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/cleaning.png,,2,t,2026-01-20 12:09:27.554,2026-01-21 11:41:59.522
cmkmjxb9w000z4q2niun7wb0t,construction,"Барилга, засал чимэглэл",https://gqzohavylekbxolokzgi.supabase.co/storage/v1/object/public/categories/icons/construction.png,,3,t,2026-01-20 12:09:39.668,2026-01-21 11:42:44.615
cmkmjwjm400024q2nney102xv,cargo-transport,Ачаа тээвэр,,cmkewzigf0002xkfkga49amv8,0,t,2026-01-20 12:09:03.82,2026-01-20 12:09:03.82
cmkmjwl3u00044q2nextpzjyo,moving,Нүүлгэлт,,cmkewzigf0002xkfkga49amv8,1,t,2026-01-20 12:09:05.754,2026-01-20 12:09:05.754
cmkmjwmkp00064q2n15c2lirz,delivery,Хүргэлтийн үйлчилгээ,,cmkewzigf0002xkfkga49amv8,2,t,2026-01-20 12:09:07.657,2026-01-20 12:09:07.657
cmkmjwo1800084q2nuhyqa5i1,courier,"Шуудан, илгээмж",,cmkewzigf0002xkfkga49amv8,3,t,2026-01-20 12:09:09.548,2026-01-20 12:09:09.548
cmkmjwpkj000a4q2netep2jmt,passenger-transport,Зорчигч тээвэр,,cmkewzigf0002xkfkga49amv8,4,t,2026-01-20 12:09:11.539,2026-01-20 12:09:11.539
cmkmjwsk7000d4q2n6122t0u6,plumbing,Сантехник,,cmkmjwr16000b4q2no28ydjhy,0,t,2026-01-20 12:09:15.416,2026-01-20 12:09:15.416
cmkmjwuco000f4q2nx61pn1t7,electrical,Цахилгаан,,cmkmjwr16000b4q2no28ydjhy,1,t,2026-01-20 12:09:17.345,2026-01-20 12:09:17.345
cmkmjwvu6000h4q2ngcvf82mj,appliance-repair,Гэр ахуйн техник засвар,,cmkmjwr16000b4q2no28ydjhy,2,t,2026-01-20 12:09:19.662,2026-01-20 12:09:19.662
cmkmjwxby000j4q2nhglu634b,furniture-repair,Тавилга засвар,,cmkmjwr16000b4q2no28ydjhy,3,t,2026-01-20 12:09:21.598,2026-01-20 12:09:21.598
cmkmjwyvw000l4q2nf9nmpw4t,phone-repair,"Утас, гар утас засвар",,cmkmjwr16000b4q2no28ydjhy,4,t,2026-01-20 12:09:23.613,2026-01-20 12:09:23.613
cmkmjx0dn000n4q2ngizpf5ca,locksmith,"Түлхүүр, цоожны үйлчилгээ",,cmkmjwr16000b4q2no28ydjhy,5,t,2026-01-20 12:09:25.547,2026-01-20 12:09:25.547
cmkmjx3ey000q4q2nl3gq19cw,home-cleaning,Гэрийн цэвэрлэгээ,,cmkmjx1xd000o4q2nq91u8ebx,0,t,2026-01-20 12:09:29.482,2026-01-20 12:09:29.482
cmkmjx4wj000s4q2n57s8384r,office-cleaning,Оффисын цэвэрлэгээ,,cmkmjx1xd000o4q2nq91u8ebx,1,t,2026-01-20 12:09:31.411,2026-01-20 12:09:31.411
cmkmjx6ov000u4q2nrxyketfp,carpet-cleaning,Хивс угаалга,,cmkmjx1xd000o4q2nq91u8ebx,2,t,2026-01-20 12:09:33.344,2026-01-20 12:09:33.344
cmkmjx89z000w4q2nu4hjsajm,window-cleaning,Цонх цэвэрлэгээ,,cmkmjx1xd000o4q2nq91u8ebx,3,t,2026-01-20 12:09:35.784,2026-01-20 12:09:35.784
