id,district_id,name,number,sort_order,is_active,created_at,updated_at
cmkmlapcj000ps5k1l9map3g2,cmkmlanw2000ns5k1hcbina4r,1-р хороо,1,0,t,2026-01-20 12:48:04.051,2026-01-20 12:48:04.051
cmkmlaqt0000rs5k1zmi5qlo0,cmkmlanw2000ns5k1hcbina4r,2-р хороо,2,1,t,2026-01-20 12:48:05.94,2026-01-20 12:48:05.94
cmkmlas9g000ts5k15h1mfci6,cmkmlanw2000ns5k1hcbina4r,3-р хороо,3,2,t,2026-01-20 12:48:07.828,2026-01-20 12:48:07.828
cmkmlatpp000vs5k14kwefcje,cmkmlanw2000ns5k1hcbina4r,4-р хороо,4,3,t,2026-01-20 12:48:09.71,2026-01-20 12:48:09.71
cmkmlav67000xs5k1wppq55v1,cmkmlanw2000ns5k1hcbina4r,5-р хороо,5,4,t,2026-01-20 12:48:11.6,2026-01-20 12:48:11.6
cmkmlayd30011s5k1phz2eovy,cmkmlawmi000zs5k1n16p32gr,1-р хороо,1,0,t,2026-01-20 12:48:15.36,2026-01-20 12:48:15.36
cmkmlazum0013s5k13r6q2x8q,cmkmlawmi000zs5k1n16p32gr,2-р хороо,2,1,t,2026-01-20 12:48:17.663,2026-01-20 12:48:17.663
cmkmlb1cg0015s5k10izxqdpt,cmkmlawmi000zs5k1n16p32gr,3-р хороо,3,2,t,2026-01-20 12:48:19.6,2026-01-20 12:48:19.6
cmkmlb49i0019s5k1qqqtvwzb,cmkmlb2su0017s5k10m4wz7s5,1-р хороо,1,0,t,2026-01-20 12:48:23.382,2026-01-20 12:48:23.382
cmkmlb5py001bs5k1iuttw5ew,cmkmlb2su0017s5k10m4wz7s5,2-р хороо,2,1,t,2026-01-20 12:48:25.27,2026-01-20 12:48:25.27
cmkmlb76h001ds5k1m4tjc0r9,cmkmlb2su0017s5k10m4wz7s5,3-р хороо,3,2,t,2026-01-20 12:48:27.161,2026-01-20 12:48:27.161
cmkmlb8mr001fs5k1xrdj4zj2,cmkmlb2su0017s5k10m4wz7s5,4-р хороо,4,3,t,2026-01-20 12:48:29.043,2026-01-20 12:48:29.043
cmkmlbads001hs5k1d6ud7lck,cmkmlb2su0017s5k10m4wz7s5,5-р хороо,5,4,t,2026-01-20 12:48:30.931,2026-01-20 12:48:30.931
cmkmlbbua001js5k1vou8w9py,cmkmlb2su0017s5k10m4wz7s5,6-р хороо,6,5,t,2026-01-20 12:48:33.202,2026-01-20 12:48:33.202
cmkmlbdc6001ls5k1dagfy6gb,cmkmlb2su0017s5k10m4wz7s5,7-р хороо,7,6,t,2026-01-20 12:48:35.142,2026-01-20 12:48:35.142
cmkmlbesg001ns5k1oqo47sm8,cmkmlb2su0017s5k10m4wz7s5,8-р хороо,8,7,t,2026-01-20 12:48:37.024,2026-01-20 12:48:37.024
cmkmlbg9t001ps5k1oliukr4j,cmkmlb2su0017s5k10m4wz7s5,9-р хороо,9,8,t,2026-01-20 12:48:38.945,2026-01-20 12:48:38.945
cmkmlbhqf001rs5k1f8lwtflk,cmkmlb2su0017s5k10m4wz7s5,10-р хороо,10,9,t,2026-01-20 12:48:40.839,2026-01-20 12:48:40.839
cmkmlbj7m001ts5k1a0q5z481,cmkmlb2su0017s5k10m4wz7s5,11-р хороо,11,10,t,2026-01-20 12:48:42.754,2026-01-20 12:48:42.754
cmkmlbkni001vs5k1hs6r482a,cmkmlb2su0017s5k10m4wz7s5,12-р хороо,12,11,t,2026-01-20 12:48:44.622,2026-01-20 12:48:44.622
cmkmlbmen001xs5k1ru94xd4e,cmkmlb2su0017s5k10m4wz7s5,13-р хороо,13,12,t,2026-01-20 12:48:46.522,2026-01-20 12:48:46.522
cmkmlbnux001zs5k1uemqlnst,cmkmlb2su0017s5k10m4wz7s5,14-р хороо,14,13,t,2026-01-20 12:48:48.777,2026-01-20 12:48:48.777
cmkmlbpbg0021s5k19yqkg9yg,cmkmlb2su0017s5k10m4wz7s5,15-р хороо,15,14,t,2026-01-20 12:48:50.668,2026-01-20 12:48:50.668
cmkmlbqrv0023s5k1u5bxm0vy,cmkmlb2su0017s5k10m4wz7s5,16-р хороо,16,15,t,2026-01-20 12:48:52.555,2026-01-20 12:48:52.555
cmkmlbs8l0025s5k1y6ju7mw6,cmkmlb2su0017s5k10m4wz7s5,17-р хороо,17,16,t,2026-01-20 12:48:54.453,2026-01-20 12:48:54.453
cmkmlbtp70027s5k1bf5swhye,cmkmlb2su0017s5k10m4wz7s5,18-р хороо,18,17,t,2026-01-20 12:48:56.347,2026-01-20 12:48:56.347
cmkmlbv5x0029s5k1ntkxs1bw,cmkmlb2su0017s5k10m4wz7s5,19-р хороо,19,18,t,2026-01-20 12:48:58.245,2026-01-20 12:48:58.245
cmkmlbwmm002bs5k1iwctoht5,cmkmlb2su0017s5k10m4wz7s5,20-р хороо,20,19,t,2026-01-20 12:49:00.142,2026-01-20 12:49:00.142
cmkmlbydj002ds5k17srdnkt2,cmkmlb2su0017s5k10m4wz7s5,21-р хороо,21,20,t,2026-01-20 12:49:02.023,2026-01-20 12:49:02.023
cmkmlbzu0002fs5k1m6wtskz7,cmkmlb2su0017s5k10m4wz7s5,22-р хороо,22,21,t,2026-01-20 12:49:04.296,2026-01-20 12:49:04.296
cmkmlc1ai002hs5k1h5sp0ulg,cmkmlb2su0017s5k10m4wz7s5,23-р хороо,23,22,t,2026-01-20 12:49:06.186,2026-01-20 12:49:06.186
